State,Area Code,City,Address,Size (Hectare),Square Metre,Price,Price/SqMetre,Annual Solar Exposure 2019 (MJ m-2),Annual Solar Exposure 2019 (kWh m-2),Solar MJ m-2 / (Price/SqM)
NSW,2259,Yarramalong,Lot 1 Bunning Creek Road,36,356100,200000,0.56,17.10,4.75,30.45
NSW,2265,Cooranbong,236 Mount Faulk Road,20,202300,899000,4.44,17.10,4.75,3.85
NSW,2318,Williamtown,523 Cabbage Tree Road,23,234300,570000,2.43,17.10,4.75,7.03
NSW,2325,Wollombi,147 Coolawine Rd,20,202300,525000,2.60,17.10,4.75,6.59
VIC,3444,Redesdale,2585 Kyneton-Redesdale Road,8,80900,580000,7.17,17.30,4.81,2.41
VIC,3561,Rochester,380 Diggora Road,21,210400,199000,0.95,17.30,4.81,18.29
VIC,3666,Euroa,1411 Euroa Road,10,101200,650000,6.42,17.30,4.81,2.69
VIC,3672,Benalla,196 Hunter Road,19,192000,595000,3.10,17.30,4.81,5.58
TAS,3706,Lower Beulah,Lower Beulah Road,47,470400,238000,0.51,14.70,4.08,29.05
VIC,3870,Boolarra,280 Foster Road,5,51000,395000,7.75,17.30,4.81,2.23
VIC,3952,Ruby,10-15 Malones Road,183,1829200,4750000,2.60,17.30,4.81,6.66
QLD,4343,Ropeley,807 Ropeley Rockside Road,88,877000,425000,0.48,20.90,5.81,43.13
QLD,4421,Tara,42 O'Hallorans Raoad,12,120000,27500,0.23,20.90,5.81,91.20
QLD,4421,Tara,183 Tregathlyn Road,12,120000,29999,0.25,20.90,5.81,83.60
QLD,4421,Tara,113 Gazzard Road,12,121400,225000,1.85,20.90,5.81,11.28
QLD,4421,Tara,180 Kofoeds Road,13,125600,295000,2.35,20.90,5.81,8.90
QLD,4421,Tara,157 Tolmah Court,12,120000,299000,2.49,20.90,5.81,8.39
QLD,4472,Blackall,113 Woodbine Road,130,1295000,770000,0.59,20.90,5.81,35.15
QLD,4725,Barcaldine,0 Capricorn Highway,169,1685900,400000,0.24,21.80,6.06,91.88
SA,5235,Springton,13/13 Strachans Road,54,540000,275000,0.51,17.20,4.78,33.77
SA,5244,Mount Torrens,350 Warmington Run,29,290000,700000,2.41,17.20,4.78,7.13
SA,5253,Woods Point,937 Jervois Road,20,198300,149000,0.75,17.20,4.78,22.89
SA,5254,Callington,129 North Bremer Road,23,225300,599000,2.66,17.20,4.78,6.47
SA,5354,Fisher,21 Ballone Road,30,300000,99000,0.33,17.20,4.78,52.12
SA,5413,Apoinga,238 Lagoon Road Apoinga,31,308300,155000,0.50,17.20,4.78,34.21
SA,5434,Hawker,52 Flinders Ranges Way,180,1800000,900000,0.50,17.20,4.78,34.40
WA,6304,Morbinning,38 Avoca Road,63,633400,500000,0.79,22.30,6.19,28.25
WA,6309,Popanyinning,90 Popanyinning East Road,8,80900,299000,3.70,22.30,6.19,6.03
WA,6701,Carnarvon,340 South River Road,20,198300,700000,3.53,22.30,6.19,6.32
WA,6701,Carnarvon,219 McGlades Road,11,114000,1850000,16.23,22.30,6.19,1.37
TAS,7030,Elderslie,Lot 1 Pelham Road,5,48000,80000,1.67,14.70,4.08,8.82
TAS,7117,Dover,Valley Road,28,278900,160000,0.57,14.70,4.08,25.62
TAS,7304,Meander,0 Meander Road,77,771500,320000,0.41,14.70,4.08,35.44
TAS,7330,Irishtown,16 Amos Road,20,204800,400000,1.95,14.70,4.08,7.53
NT,0822,Bees Creek,795 Bees Creek Road,121,1205000,2980000,2.47,22.10,6.14,8.94
NT,0822,Rakula,5/49 Marindja Road,10,100000,390000,3.90,22.10,6.14,5.67
NT,0840,Dundee Forest,4500 Bay Road,12,122500,100000,0.82,22.10,6.14,27.07
NT,0840,Dundee Beach,3734 Launceston Road,14,142800,240000,1.68,22.10,6.14,13.15
NT,0845,Batchelor,60 Carr Road,101,1011700,485000,0.48,22.10,6.14,46.10
NT,0850,Katherine,2675 Florina Rd,41,406500,899000,2.21,22.10,6.14,9.99
NT,0860,Tennant Creek,23545 Stuart Highway,20,200000,950000,4.75,22.10,6.14,4.65
